Date		Bachelor 	1Bedroom 	2Bedroom 	3Bedroom 	Total
1990 	472 	 	566 	 	753 	 	887 	 	622 	
1991 	471 		585 	 	753 	 	900 	 	633 	
1992 	480 	 	594 	 	772 	 	910 	 	643 	
1993 	494 	 	611 	 	791 	 	939 	 	660 	
1994 	513 	 	623 	 	815 	 	952 	 	675 	
1995 	538 	 	640 	 	828 	 	987 	 	691 	
1996 	556 	 	660 	 	846 	 	986 	 	712 	
1997 	564 	 	672 	 	855 	 	1043 	 	724 	
1998 	590 	 	675 	 	872 	 	1012 	 	730 	
1999 	585 	 	683 	 	866 	 	1020 	 	733 	
2000 	598 	 	695 	 	893 	 	1045 	 	749 	
2001 	621 	 	726 	 	922 	 	1082 	 	778 	
2002 	638 		743 	 	955 	 	1140 	 	801 	
2003 	654 		759 	 	968 	 	1154 	 	815 	
2004 	668 	 	774 	 	988 	 	1177 	 	831 	
2005 	678 	 	787 	 	1006 	 	1196 	 	845 
2006 	701 	 	816 	 	1048 	 	1233 	 	876 	
2007 	735 	 	846 	 	1090 	 	1286 	 	908 	
2008 	755 	 	880 	 	1131 	 	1359 	 	948 
2009 	804 	 	919 	 	1175 	 	1381 	 	986 	
2010 	811 	 	940 	 	1202 	 	1410 	 	1006 	
2011 	841 	 	964 	 	1243 	 	1445 	 	1037 	
2012 	866 	 	982 	 	1267 	 	1471 	 	1058 	
2013 	878 	 	1005 	 	1287 	 	1514 	 	1078 
2014 	903 	 	1038 	 	1317 	 	1530 		1110 	
2015 	938 	 	1079 	 	1375 	 	1605 	 	1156 	
2016 	1015 		1159 	 	1459 	 	1656 	 	1236 	
2017 	1062 	 	1223 	 	1558 	 	1756 	 	1308 	
2018 	1151 	 	1306 	 	1652 	 	1845 	 	1394 	
2019 	1227 	 	1382 		1752 	 	1990 	 	1480 	
2020 	1259 	 	1415 		1799 	 	2078 	 	1519 	
2021 	1302 	 	1434 	 	1830 	 	2211 	 	1546 	
2022 	1378 	 	1543 	 	2009 	 	2441 	 	1675 	
2023 	1489 	 	1697 	 	2187 	 	2477 	 	1828 	 
